ID,RA_deg,Dec_deg,Av_mag,RM_obs_rad_m2,RM_err_rad_m2,B_parallel_uG,B_upper_err_uG,B_lower_err_uG
115,52.33462000000002,31.11236,4.0688066482543945,45.12872700000001,1.5170709999999998,62.73619499567082,37,62
116,52.37863000000001,31.36905,4.973970890045166,72.88199,3.9685688,176.47616851451767,66,175
117,52.49627,30.6062,2.80450439453125,33.409813,2.3632126,11.36865565419729,52,53
118,52.49979000000002,30.6105,2.6438422203063965,35.0655,1.8375039,22.936744928685666,54,53
119,52.51526000000001,30.54888,3.737828254699707,21.14425,3.1336575,-50.54728520116432,50,70
120,52.51596000000002,30.55472,3.737828254699707,18.369112,3.6427302,-64.02495673888039,63,83
121,52.52029000000001,31.19632,2.9040842056274414,18.961977,3.659546100000002,-75.09853572885233,74,121
122,52.52152,30.551440000000003,3.737828254699707,30.616493,0.9859811,-4.544607179591893,34,41
123,52.52382000000001,30.603920000000002,2.3862595558166504,33.415092,2.0942867,13.550815891014278,64,166
124,52.53309000000001,30.548029999999997,3.7501380443573,34.6484,0.17040344,14.99733908653142,34,194
125,52.537940000000006,30.54715,3.7501380443573,34.9246,0.15143664,16.335217952727056,219,30
126,52.54026,31.4094,2.050169944763184,2.6460364,1.9854978,-251.78842481696955,251,81
127,52.57639000000001,30.92626,1.8935058116912842,-0.73266274,4.358555,-309.8921878120788,309,150
128,52.58012,31.77265,2.7736427783966064,6.861953,2.3480859,-152.9480965991902,152,240
129,52.60245000000001,31.7878,2.980852127075196,14.912435,0.87641144,-96.70402236596641,96,169
130,52.65380000000001,31.87367,2.556478500366211,-2.0923562,3.0799553,-225.54336531913586,225,471
131,52.66157000000001,31.51275,2.186198472976685,16.324728,2.888616,-122.10536683551895,121,82
133,52.74033000000002,31.568009999999997,3.2389278411865234,33.8143,3.9287004,12.26379306945513,55,66
134,52.75047000000001,31.368129999999997,1.928282618522644,23.443678,3.5978568,-75.90989332962991,145,275
135,52.79483000000002,31.65152,3.6945583820343018,9.39862,3.233206,-108.59162329305263,108,77
138,52.82475000000001,30.79208,2.852445602416992,53.984215,1.0780324,134.77263321828758,129,134
139,52.82956000000001,30.79073,1.821968674659729,54.16967800000001,0.9420522,229.02316748205155,140,228
140,52.84279000000002,31.05725,1.9458383321762085,27.631788,2.3246377000000003,-36.569135724035064,80,179
142,52.90963000000002,31.907290000000003,1.993356466293335,42.547523,1.7311772,99.3545963756246,126,98
143,52.91336,30.67597,2.1243054866790767,30.350515,1.0882623,-9.997719288910401,60,251
144,52.914350000000006,30.67189,2.1243054866790767,31.606945,1.0716676,0.454973931817727,127,59
145,52.91863000000002,30.67545,2.1243054866790767,30.563246000000003,0.94337994,-8.227933561461409,59,248
146,52.97608000000001,31.07814,2.19769549369812,0.9342431,2.9177618,-243.88035781415803,243,116
147,53.03296000000001,30.43473,1.7818940877914429,45.94278,4.122267,150.34457576503775,137,149
148,53.04498000000001,30.66222,2.2580280303955083,47.395042,2.952233,123.1410398080258,102,106
149,53.06639000000002,31.75768,1.784237027168274,52.043163,1.1607857,213.6814929173305,104,213
150,53.07485000000001,31.75597,1.6916640996932983,50.211605,0.33157548,209.95221543904358,159,209
151,53.105150000000016,31.086759999999998,3.457828998565674,48.734623,0.41696116,87.85259818554482,81,87
152,53.14973000000002,31.8378,1.7315526008605957,74.38410999999998,4.1611996,466.07403598887413,895,465
155,53.16795000000001,31.833779999999997,1.6749823093414309,56.74048000000001,3.1260312000000003,287.5066583737997,480,287
156,53.17493000000002,30.33564,2.270000457763672,34.854336,0.30095518,25.50289727030286,303,50
158,53.189960000000006,31.413079999999997,3.900543451309204,47.369877,3.8665183,75.25430212736386,55,74
159,53.22401000000001,31.720340000000004,2.1664698123931885,47.983276,0.42385936,133.29117865131758,170,132
160,53.25366000000001,31.338440000000002,5.3209757804870605,15.148098999999998,3.429978,-68.83515743172654,68,43
161,53.27499000000002,30.879070000000002,3.7426960468292236,44.63757,1.0897276000000002,63.48401434352939,102,36
162,53.28603000000001,30.84678,2.2195489406585693,66.94268000000001,3.2243433,278.36575936971445,113,277
163,53.32389000000001,30.7891,2.908586263656616,39.42310300000001,4.3150487,46.87558133145466,213,63
166,53.37786000000001,31.29963,10.369733810424805,22.006262,1.1694895,-38.4373381254557,37,29
167,53.46216000000001,30.384009999999996,1.8878221511840816,32.582592,3.7406614,9.930935090524992,121,95
168,53.46505000000001,30.520220000000002,1.6913213729858398,50.11386,2.155746,208.91349938933982,274,208
169,53.47305000000002,31.22038,4.282991886138916,36.290054,3.5273595,21.422907893618127,48,133
172,53.50767000000001,31.31107,6.173189640045166,31.29005200000001,0.25153154,-1.07775960981579,26,112
175,53.54906,31.006859999999996,2.908069610595703,29.162504,0.8728564,-14.234921220512767,44,44
177,53.57104000000001,31.20293,4.085564613342285,28.040113,0.09712051,-16.1831388332879,51,30
181,53.703100000000006,31.11464,2.5425045490264893,45.471836,1.1811626,93.91745269382696,51,93
182,53.73774000000002,30.82371,2.125122547149658,52.903446,0.43273953,177.54035745836094,107,177
183,53.77211000000001,30.78523,2.043807983398437,29.932302000000004,0.5293465,-14.167823985043453,58,348
184,53.778650000000006,30.78497,2.043807983398437,26.94453,0.68316734,-40.298329356169134,61,396
187,53.80057000000001,30.78473,1.699633240699768,45.880867,0.5722316,160.13447594438566,75,159
189,53.87660000000001,30.54004,2.11026930809021,28.713114,0.06016684,-23.82239459529466,52,122
190,53.87653000000002,30.77832,2.2080066204071045,47.12593,0.20791309,123.31090798663817,176,122
194,53.928700000000006,30.32017,1.7425466775894165,35.73296,1.8266584,45.0832367333911,303,257
196,54.31645000000002,31.24935,3.915883779525757,79.384865,0.60637075,226.95760661371227,65,226
200,54.45766999999999,31.25416,2.422832727432251,92.02243,0.31316698,431.9778346244255,46,431
201,54.46612,30.93365,3.08431077003479,55.16720600000001,0.043544415,132.6491733450134,119,132
202,54.50125000000001,31.10292,2.4473440647125244,63.25374,0.5669225999999999,223.77091141162438,158,223
203,54.61360000000001,30.88435,2.3842902183532715,61.899967,1.3779473999999998,220.97581165298888,136,220
204,54.92383000000002,30.848159999999996,1.7142527103424072,68.98555,1.4296658000000002,413.228964271835,330,367
