ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec	Extinction_Observed
45	1013	214	51.249833333333335	26.394	6.5	5.3	51.24590092492611	26.386096620370996	0.35582393407821655	1	0.35582393407821655	51.24590092492611	26.386096620370996	1.010953426361084	51.26825456533116	26.41170800896067	True
46	981	426	51.2925	31.47686111111111	35.1	1.8	51.290411277661086	31.479707479000183	2.1447160243988037	1	1.687135100364685	51.31431006593146	31.506510932383357	2.5809717178344727	51.26653236727329	31.452906537973355	True
47	966	517	51.33983333333333	33.71738888888889	2.4	11.1	51.3477432942651	33.71545552139999	1.8839343786239624	1	1.254525899887085	51.31492756189852	33.73663265745048	2.0289342403411865	51.35182753674235	33.69126810345649	True
48	988	285	51.64816666666667	28.107666666666667	46.8	10.2	51.64148817408996	28.108010087090044	0.9781103134155273	1	0.4735991358757019	51.64519981146221	28.084450693362975	1.7669739723205566	51.61103191946283	28.129109160520795	True
49	992	221	51.771708333333336	26.59311111111111	39.6	12.0	51.769695274625064	26.598122341980876	0.43177515268325806	1	0.1653425693511963	51.74344986950402	26.595819735171055	1.0345747470855713	51.79954380074091	26.577099054121714	True
50	977	323	51.795458333333336	29.02272222222222	26.2	11.7	51.79641981479489	29.03359861543489	1.7482078075408936	1	1.398115873336792	51.800131573871106	29.0098863233666	1.9158931970596313	51.79270585265424	29.057313980355193	True
51	959	420	51.91470833333333	31.403166666666664	15.1	14.1	51.927842162037116	31.39633087728917	2.8716089725494385	1	1.8639392852783203	51.931630963859206	31.372306562078577	3.719804286956787	51.95580076049604	31.39901346387391	True
52	966	339	52.028875	29.444277777777778	18.9	9.8	52.036367560072236	29.44120350958962	1.1627353429794312	1	0.8482714295387268	52.059984346748905	29.467496191261553	1.2259652614593506	52.012769686520514	29.414914109151454	True
53	939	513	52.141375	33.706	56.8	8.9	52.14100756795817	33.69729090009991	0.6062264442443848	1	0.025908291339874268	52.13716420222538	33.72155120531755	1.2412718534469604	52.144848504537485	33.67303211440523	True
54	962	335	52.150416666666665	29.365833333333335	24.8	2.0	52.16000459703709	29.355966209209925	2.3192174434661865	1	1.6040716171264648	52.13637590197369	29.329709388006158	2.3192174434661865	52.16000459703709	29.355966209209925	True
55	954	396	52.168375	30.831722222222222	60.2	3.1	52.15701487196774	30.833426168475754	4.208803653717041	1	2.9520058631896973	52.13292942362061	30.80685502492834	5.156177043914795	52.12552422245233	30.85481259869946	True
56	925	572	52.31395833333333	35.16894444444444	17.8	7.5	52.32201298081357	35.1721734032737	0.6743826270103455	1	0.512711763381958	52.29641342069395	35.14490241333225	0.8669470548629761	52.31814901793155	35.196546647940686	True
57	933	511	52.32483333333333	33.677388888888885	29.9	11.6	52.32185552777761	33.66558368444444	1.1087065935134888	1	0.7592066526412964	52.35451334307447	33.64408806111851	1.6771701574325562	52.31806935310491	33.68985752345217	True
58	942	383	52.53808333333333	30.546833333333336	-8.3	10.6	52.53747898470368	30.552149445092383	3.7501380443573	1	2.3171157836914062	52.56167195036069	30.57862055082056	4.570880889892578	52.56879344620884	30.530654114158846	True
59	952	304	52.53970833333333	28.6525	6.5	7.8	52.54178849960603	28.643490364271102	1.369989275932312	1	1.1743624210357666	52.57233828217963	28.622098610056224	1.648040533065796	52.514715719691566	28.64115473302098	True
60	942	363	52.613625	30.064722222222223	28.1	5.7	52.608424269432255	30.073075807106157	0.6380227208137512	1	0.12222051620483398	52.58436842547031	30.046714599444137	1.4305622577667236	52.63249937887228	30.099439688295334	True
61	938	304	52.92341666666667	28.679194444444445	19.9	12.3	52.921352940442134	28.675658789957158	1.8874521255493164	1	0.8965321779251099	52.890826647865914	28.697150643370183	1.8874521255493164	52.921352940442134	28.675658789957158	True
62	907	552	52.925875	34.73313888888889	26.9	19.6	52.92702746492408	34.7350357617875	1.3756599426269531	1	0.21721434593200684	52.96007265208268	34.713354931231144	1.5664128065109253	52.95278991301792	34.76215840023502	True
63	928	340	53.085166666666666	29.549722222222226	33.0	12.1	53.073193593144836	29.556271465618313	0.899876058101654	1	0.5019545555114746	53.049087712267564	29.53007536685735	1.5042163133621216	53.04233908260868	29.577861953373162	True
64	913	434	53.16741666666667	31.861861111111114	67.4	12.4	53.17191402223962	31.852107989595368	1.4972474575042725	1	1.1023110151290894	53.196817752824316	31.878745268032485	1.7688548564910889	53.20367834937721	31.830379382340187	True
